,ErrCode,StartTime
0,E620032L,2017-03-01 07:04:30
1,E620002L,2017-03-01 07:53:22
2,E630224L,2017-03-01 08:30:48
3,E620002L,2017-03-01 09:12:11
4,E620002L,2017-03-01 09:16:44
5,E620002L,2017-03-01 09:22:49
6,E620002L,2017-03-01 09:28:23
7,E620002L,2017-03-01 10:39:32
8,E620002L,2017-03-01 10:51:56
9,E630224L,2017-03-01 11:01:07
10,E620002L,2017-03-01 11:01:40
11,E620002L,2017-03-01 11:12:48
12,E620002L,2017-03-01 11:42:52
13,E630224L,2017-03-01 11:59:13
14,E601043L,2017-03-01 12:04:34
15,E620029L,2017-03-01 12:04:35
16,E620002L,2017-03-01 12:04:56
17,E620002L,2017-03-01 12:09:40
18,E620002L,2017-03-01 14:30:25
19,E601043L,2017-03-01 14:57:27
20,E620029L,2017-03-01 14:57:27
21,E610060L,2017-03-01 15:13:04
22,E620002L,2017-03-01 15:14:19
23,E620002L,2017-03-01 17:07:31
24,E620002L,2017-03-01 17:46:06
25,E630224L,2017-03-01 19:37:43
26,E630261L,2017-03-01 20:06:57
27,E620002L,2017-03-01 20:40:49
28,E620002L,2017-03-02 01:12:40
29,E620002L,2017-03-02 01:17:07
30,E620002L,2017-03-02 07:32:39
31,E620002L,2017-03-02 07:47:00
32,E620002L,2017-03-02 08:06:44
33,E620002L,2017-03-02 08:41:29
34,E620002L,2017-03-02 10:17:12
35,E620002L,2017-03-02 10:20:03
36,E620002L,2017-03-02 10:25:16
37,E620002L,2017-03-02 11:02:46
38,E620003L,2017-03-02 11:23:05
39,E620029L,2017-03-02 11:23:06
40,E620002L,2017-03-02 11:51:24
41,E620002L,2017-03-02 12:24:14
42,E620002L,2017-03-02 12:40:52
43,E620002L,2017-03-02 12:43:09
44,E620002L,2017-03-02 12:46:28
45,E620002L,2017-03-02 12:52:07
46,E620003L,2017-03-02 13:40:06
47,E620029L,2017-03-02 13:40:07
48,E601043L,2017-03-02 13:40:28
49,E620002L,2017-03-02 22:30:52
50,E620002L,2017-03-02 23:12:13
51,E620002L,2017-03-02 23:18:04
52,E620002L,2017-03-02 23:39:19
53,E620002L,2017-03-02 23:42:35
54,E620002L,2017-03-02 23:51:13
55,E620002L,2017-03-03 01:29:28
56,E620002L,2017-03-03 02:12:46
57,E620003L,2017-03-03 02:13:53
58,E620029L,2017-03-03 02:13:54
59,E620002L,2017-03-03 02:15:34
60,E620002L,2017-03-03 02:38:09
61,E620002L,2017-03-03 03:06:22
62,E620002L,2017-03-03 05:23:49
63,E620002L,2017-03-03 05:35:46
64,E620002L,2017-03-03 05:41:11
65,E620002L,2017-03-03 05:44:31
66,E620002L,2017-03-03 05:49:22
67,E602017L,2017-03-03 08:58:30
68,E620002L,2017-03-03 09:04:11
69,E620002L,2017-03-03 09:22:29
70,E620002L,2017-03-03 10:02:03
71,E620002L,2017-03-03 10:11:53
72,E620002L,2017-03-03 10:13:59
73,E620002L,2017-03-03 10:29:27
74,E620002L,2017-03-03 10:46:28
75,E620002L,2017-03-03 11:10:07
76,E620002L,2017-03-03 11:14:13
77,E610024L,2017-03-03 11:17:35
78,E620002L,2017-03-03 11:19:20
79,E620002L,2017-03-03 11:22:07
80,E620002L,2017-03-03 11:54:49
81,E620002L,2017-03-03 11:57:15
82,E620002L,2017-03-03 12:01:59
83,E620002L,2017-03-03 12:04:41
84,E620002L,2017-03-03 12:19:58
85,E620002L,2017-03-03 12:23:44
86,E620002L,2017-03-03 12:36:06
87,E620002L,2017-03-03 12:40:11
88,E620002L,2017-03-03 12:58:55
89,E620002L,2017-03-03 13:01:32
90,E620002L,2017-03-03 13:12:30
91,E620002L,2017-03-03 13:26:51
92,E620002L,2017-03-03 14:02:39
93,E610024L,2017-03-03 14:08:59
94,E620002L,2017-03-03 14:11:11
95,E620002L,2017-03-03 14:14:46
