,ErrCode,StartTime
0,E620032L,2017-03-01 07:05:24
1,E620002L,2017-03-01 07:42:25
2,E630227L,2017-03-01 08:38:26
3,E630224L,2017-03-01 08:40:18
4,E630261L,2017-03-01 08:44:23
5,E630227L,2017-03-01 08:58:07
6,E630264L,2017-03-01 09:00:26
7,E620002L,2017-03-01 09:00:46
8,E620002L,2017-03-01 09:54:53
9,E620002L,2017-03-01 12:14:47
10,E630235L,2017-03-01 12:35:16
11,E620002L,2017-03-01 14:06:16
12,E620002L,2017-03-01 14:10:39
13,E601043L,2017-03-01 14:38:25
14,E620029L,2017-03-01 14:38:25
15,E620002L,2017-03-01 14:44:28
16,E620002L,2017-03-01 16:27:28
17,E602017L,2017-03-01 16:59:33
18,E620002L,2017-03-01 16:59:51
19,E620002L,2017-03-01 17:12:44
20,E630235L,2017-03-01 18:37:39
21,E630235L,2017-03-01 18:49:35
22,E620002L,2017-03-01 21:09:54
23,E620002L,2017-03-01 21:19:32
24,E620002L,2017-03-01 21:26:36
25,E620002L,2017-03-01 21:30:01
26,E620002L,2017-03-01 21:32:45
27,E620002L,2017-03-02 01:08:34
28,E620002L,2017-03-02 07:15:29
29,E620002L,2017-03-02 08:06:39
30,E620002L,2017-03-02 08:15:09
31,E620002L,2017-03-02 09:52:34
32,E620002L,2017-03-02 11:15:51
33,E620002L,2017-03-02 11:57:03
34,E620002L,2017-03-02 12:39:03
35,E620002L,2017-03-02 12:59:19
36,E630267L,2017-03-02 15:44:01
37,E620029L,2017-03-02 19:34:40
38,E601043L,2017-03-02 19:34:56
39,E620002L,2017-03-02 19:35:41
40,E620002L,2017-03-02 19:38:06
41,E602017L,2017-03-02 20:59:29
42,E620002L,2017-03-02 22:23:38
43,E620002L,2017-03-02 23:29:40
44,E620002L,2017-03-03 00:01:12
45,E620002L,2017-03-03 01:27:37
46,E630235L,2017-03-03 02:15:56
47,E620002L,2017-03-03 05:50:58
48,E620002L,2017-03-03 06:38:27
49,E620003L,2017-03-03 06:51:34
50,E620029L,2017-03-03 06:51:34
51,E601043L,2017-03-03 06:54:27
52,E620002L,2017-03-03 10:00:06
53,E620002L,2017-03-03 10:42:54
54,E620002L,2017-03-03 11:23:51
55,E630224L,2017-03-03 15:13:33
56,E630267L,2017-03-03 18:33:50
57,E620002L,2017-03-03 18:34:13
58,E630267L,2017-03-03 19:03:53
59,E620002L,2017-03-03 19:14:12
60,E620002L,2017-03-04 01:26:10
61,E602017L,2017-03-04 01:50:56
62,E620002L,2017-03-04 01:51:17
63,E620002L,2017-03-04 02:10:04
64,E602017L,2017-03-04 02:16:25
65,E620002L,2017-03-04 02:16:46
66,E620029L,2017-03-04 02:22:07
67,E601043L,2017-03-04 02:22:12
68,E602017L,2017-03-04 02:24:42
69,E620002L,2017-03-04 02:32:13
70,E602017L,2017-03-04 02:46:25
71,E620002L,2017-03-04 02:56:29
72,E620002L,2017-03-04 03:11:50
73,E620002L,2017-03-04 03:19:11
74,E620002L,2017-03-04 05:01:47
75,E620003L,2017-03-04 05:18:54
76,E620029L,2017-03-04 05:18:55
77,E550903L,2017-03-04 05:19:23
78,E620002L,2017-03-04 05:19:31
79,E602017L,2017-03-04 05:36:23
80,E620002L,2017-03-04 06:59:59
81,E620002L,2017-03-04 07:03:27
82,E620003L,2017-03-04 07:57:47
83,E620029L,2017-03-04 07:57:48
84,E550903L,2017-03-04 07:59:37
85,E620002L,2017-03-04 07:59:56
86,E620002L,2017-03-04 09:12:55
87,E620002L,2017-03-04 11:55:29
88,E620002L,2017-03-04 13:39:52
89,E620002L,2017-03-04 21:21:49
90,E620002L,2017-03-04 21:29:10
91,E620002L,2017-03-05 07:16:59
92,E620003L,2017-03-05 07:29:18
93,E620029L,2017-03-05 07:29:19
94,E620002L,2017-03-05 07:31:11
95,E620032L,2017-03-06 07:06:53
96,E620002L,2017-03-06 07:54:32
97,E630223L,2017-03-06 08:34:17
98,E620002L,2017-03-06 08:50:22
99,E620002L,2017-03-06 08:52:29
100,E620002L,2017-03-06 08:59:11
101,E620002L,2017-03-06 09:05:35
102,E620002L,2017-03-06 09:07:59
103,E620002L,2017-03-06 09:17:37
104,E620002L,2017-03-06 09:21:31
105,E630224L,2017-03-06 09:27:02
106,E620002L,2017-03-06 09:27:19
107,E630267L,2017-03-06 10:03:54
108,E620002L,2017-03-06 10:04:05
109,E630267L,2017-03-06 10:15:14
110,E620002L,2017-03-06 10:15:49
111,E630267L,2017-03-06 10:26:51
112,E620002L,2017-03-06 11:06:51
113,E620002L,2017-03-06 11:32:55
114,E630234L,2017-03-06 11:42:47
115,E620002L,2017-03-06 12:30:00
116,E620002L,2017-03-06 12:34:34
117,E620002L,2017-03-06 13:02:59
118,E620002L,2017-03-06 13:32:54
119,E630224L,2017-03-06 14:08:08
120,E620002L,2017-03-06 14:11:12
121,E620002L,2017-03-06 14:51:02
122,E630261L,2017-03-06 16:08:29
123,E630224L,2017-03-06 19:57:02
124,E620002L,2017-03-07 16:11:33
125,E620002L,2017-03-07 16:17:34
126,E630224L,2017-03-07 16:33:07
127,E630261L,2017-03-07 16:46:33
128,E620002L,2017-03-07 22:23:43
129,E620002L,2017-03-07 22:26:35
131,E620029L,2017-03-07 22:26:37
130,E620003L,2017-03-07 22:26:37
132,E620002L,2017-03-08 01:33:23
133,E620002L,2017-03-08 07:33:31
134,E630236L,2017-03-08 08:06:14
135,E630221L,2017-03-08 08:07:26
136,E630224L,2017-03-08 08:49:54
137,E620002L,2017-03-08 09:16:13
138,E630261L,2017-03-08 09:41:55
139,E630261L,2017-03-08 11:12:34
140,E630261L,2017-03-08 11:23:34
141,E630235L,2017-03-08 12:01:26
142,E620002L,2017-03-08 12:01:43
143,E630261L,2017-03-08 13:14:33
144,E620002L,2017-03-08 13:15:18
145,E630235L,2017-03-08 13:46:27
146,E620002L,2017-03-08 13:47:04
147,E630261L,2017-03-08 14:50:50
148,E620002L,2017-03-08 14:51:11
149,E630261L,2017-03-08 15:45:49
150,E630261L,2017-03-08 17:02:25
151,E630261L,2017-03-08 17:45:43
152,E630261L,2017-03-08 18:18:11
153,E630261L,2017-03-08 18:35:16
154,E630261L,2017-03-08 19:10:27
155,E630261L,2017-03-08 19:46:14
156,E620002L,2017-03-08 20:51:54
157,E620002L,2017-03-08 20:56:02
158,E620003L,2017-03-09 03:34:26
159,E620029L,2017-03-09 03:34:29
160,E601043L,2017-03-09 03:37:33
161,E630261L,2017-03-09 03:46:58
162,E630267L,2017-03-09 07:16:23
163,E620002L,2017-03-09 07:18:20
164,E620002L,2017-03-09 09:28:03
165,E630227L,2017-03-09 09:47:50
166,E620002L,2017-03-09 10:10:02
167,E620002L,2017-03-09 10:52:14
168,E620002L,2017-03-09 11:13:00
169,E620002L,2017-03-09 11:23:43
170,E620002L,2017-03-09 11:26:40
171,E630224L,2017-03-09 11:30:47
172,E620002L,2017-03-09 11:30:57
173,E620002L,2017-03-09 13:51:53
174,E620002L,2017-03-09 13:54:43
175,E620002L,2017-03-09 20:11:49
176,E620002L,2017-03-09 20:18:21
177,E620002L,2017-03-09 20:23:09
178,E620002L,2017-03-09 20:37:18
179,E602017L,2017-03-10 00:00:50
180,E610042L,2017-03-10 00:13:39
181,E530024L,2017-03-10 07:18:13
182,E620002L,2017-03-10 07:20:06
183,E600016L,2017-03-10 07:22:06
184,E620002L,2017-03-10 07:22:06
185,E620002L,2017-03-10 07:24:37
186,E630224L,2017-03-10 08:07:01
187,E620002L,2017-03-10 08:12:12
188,E620002L,2017-03-10 08:16:14
189,E620002L,2017-03-10 08:29:45
190,E630224L,2017-03-10 10:12:34
191,E620002L,2017-03-10 10:12:48
192,E620002L,2017-03-10 10:24:47
193,E620002L,2017-03-10 10:29:31
194,E620002L,2017-03-10 10:32:13
195,E620002L,2017-03-10 11:59:00
196,E630224L,2017-03-10 12:16:10
197,E630224L,2017-03-10 12:25:50
198,E620002L,2017-03-10 12:26:03
199,E620002L,2017-03-10 12:41:03
200,E620002L,2017-03-10 12:45:04
201,E630224L,2017-03-10 17:04:49
202,E620002L,2017-03-10 17:05:01
