,ErrCode,StartTime
0,E620032L,2017-03-01 07:04:06
1,E620002L,2017-03-01 07:41:17
2,E620002L,2017-03-01 07:55:40
3,E630224L,2017-03-01 08:37:23
4,E630261L,2017-03-01 08:56:05
5,E620002L,2017-03-01 08:57:26
6,E630261L,2017-03-01 09:58:58
7,E620002L,2017-03-01 10:16:55
8,E630235L,2017-03-01 11:37:23
9,E620002L,2017-03-01 11:44:45
10,E620002L,2017-03-01 11:54:54
11,E630235L,2017-03-01 11:56:03
12,E620002L,2017-03-01 12:02:07
13,E601043L,2017-03-01 15:04:50
14,E620003L,2017-03-01 15:04:50
15,E620029L,2017-03-01 15:04:51
16,E620002L,2017-03-01 15:05:51
17,E620002L,2017-03-01 16:19:09
18,E620002L,2017-03-01 21:02:18
19,E620002L,2017-03-01 21:04:37
20,E630235L,2017-03-01 22:00:16
21,E630235L,2017-03-01 22:31:42
22,E630234L,2017-03-02 00:21:29
23,E620002L,2017-03-02 01:01:01
24,E601043L,2017-03-02 01:07:33
25,E620029L,2017-03-02 01:07:33
26,E620002L,2017-03-02 07:02:51
27,E620002L,2017-03-02 07:46:18
28,E620002L,2017-03-02 11:07:48
29,E620002L,2017-03-02 11:27:52
30,E620002L,2017-03-02 11:59:47
31,E620002L,2017-03-02 12:22:11
32,E620002L,2017-03-02 12:24:21
33,E620002L,2017-03-02 12:29:32
34,E630267L,2017-03-02 12:39:30
35,E620002L,2017-03-02 12:41:22
36,E620002L,2017-03-02 12:43:27
37,E602017L,2017-03-02 13:09:15
38,E620002L,2017-03-02 13:09:30
39,E620002L,2017-03-02 22:07:23
40,E620002L,2017-03-02 22:11:16
41,E620002L,2017-03-03 01:14:05
42,E620002L,2017-03-03 01:22:29
43,E620002L,2017-03-03 09:46:50
44,E620003L,2017-03-03 14:33:30
45,E620029L,2017-03-03 14:33:30
46,E601043L,2017-03-03 14:33:50
48,E620029L,2017-03-04 00:06:19
47,E620003L,2017-03-04 00:06:19
49,E601043L,2017-03-04 00:06:53
50,E630227L,2017-03-04 01:46:02
51,E620002L,2017-03-04 04:10:39
52,E620002L,2017-03-04 04:12:45
53,E620002L,2017-03-04 08:00:25
54,E620002L,2017-03-04 08:04:37
55,E630235L,2017-03-04 09:05:57
56,E620002L,2017-03-04 09:07:55
